,company_name,experience,location,skills,posted_at
0,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Jeddah,"business system  ,  infrastructure  ,  data scientist",Posted 3 days ago
1,HyreFox Consultants,0 - 3 yrs,Jaipur,"data science  ,  data cleaning  ,  data scientist  ,  dashboards",Posted 5 days ago
2,Nielsen Research Ltd. Co.,4 - 7 yrs,Mumbai,"visualization  ,  dashboards  ,  tableau  ,  data science  ,  data scientist",Posted few days ago
3,RedLotus,0 - 3 yrs,Mumbai,"data scientist  ,  statistical modeling  ,  data visualization",Posted few days ago
4,Armaco Chemical Processes Systems Pvt Ltd,3 - 7 yrs,Jeddah,"bi  ,  sql  ,  database  ,  data science  ,  data scientist  ,  data visualization  ,  data analytics  ,  tableau  ,  qlik sense  ,  infrastructure",Posted 3 days ago
5,Datagrid Solutions,5 - 6 yrs,Mumbai,"data analysis  ,  linear regression  ,  ensemble  ,  tableau  ,  data science  ,  data scientist  ,  data visualization",Posted few days ago
6,RGF Professional,7 - 10 yrs,Pune,"bi  ,  business case development  ,  sql  ,  tableau  ,  data science  ,  project delivery  ,  data scientist  ,  analyst",Posted few days ago
7,Armaco Chemical Processes Systems Pvt Ltd,5 - 8 yrs,,"time series analysis  ,  visualization  ,  business solutions  ,  data science  ,  data scientist  ,  advanced analytics  ,  infrastructure  ,  predictive modeling",Posted few days ago
8,TERADATA INDIA PVT LTD,0 - 3 yrs,Japan,"visualization  ,  conference  ,  anova  ,  dashboards  ,  data science  ,  data scientist  ,  client facing  ,  data analysis  ,  consulting  ,  tableau  ,  qlik sense",Posted a month ago
9,TECHNOPARK TRIVANDRUM,3 - 5 yrs,Thiruvananthapuram,"regression analysis  ,  logistic regression  ,  advanced analytics  ,  data analytics  ,  data cleaning  ,  data mining  ,  bi  ,  linear regression  ,  ensemble  ,  sql  ,  database  ,  data science  ,  data scientist  ,  data visualization  ,  cluster analysis  ,  tableau",Posted few days ago
